file_name,source_id,title,source_name,published_at,signal_type_hint,candidate_bucket,recommended_set,confidence_band,manual_review_priority,score_signal,score_noise,score_boundary,reasons,source_url,content_excerpt
incoming_20260318_001.json,incoming_20260318_001,触乐怪话：《杀戮尖塔2》值得一品,ChuApp,2026-03-18T00:00:00Z,market,noise,noise_suppression_candidate,low,high,1,2,0,hint:market | missing_game_context,http://www.chuapp.com/article/291246.html,触乐怪话，每天胡侃和游戏有关的屁事、鬼事、新鲜事。 正式版快点端上来！（图/小罗） 今年春节后，各家厂商开始了新一轮的“表演”，从《生化危机：安魂曲》开始，大作接踵而至，这也让大多玩家开启了“爆肝”模式——先玩你的，再玩你的，哦哦还有你家的，别急，马上就到了。 所以，大家最近在玩什么游戏呢? 我的话，最近在“地球OL”忙着搬家，沉迷“房间自定义”和“成人乐高”好几天，装箱拆箱的过程很痛苦。闲暇之余，除了在各种二游里“上班”，就是和朋友…
incoming_20260318_002.json,incoming_20260318_002,在GDC现场，看《无限暖暖》造梦,ChuApp,2026-03-18T00:00:00Z,team,noise,noise_suppression_candidate,low,high,1,2,0,hint:team | missing_game_context,http://www.chuapp.com/article/291248.html,2026年3月10日，我坐在旧金山Moscone Center West Hall 2006房间。讲台上的人是《无限暖暖》2.x版本主策划PR Peng，她分享的内容是“上线1年后，《无限暖暖》核心机制的长线设计与进化”。 “上线1年后，《无限暖暖》核心机制的长线设计与进化” 如果要用一个场景来形容国内厂商在海外大型展会上的成长，我会将这个时刻选为其中之一——去年3月，我坐在电脑前，看《无限暖暖》“首登GDC”，那时，执行制作人富永健…
incoming_20260318_003.json,incoming_20260318_003,我们和二次元美少女一起抓了一天“奇波”,ChuApp,2026-03-18T00:00:00Z,team,noise,noise_suppression_candidate,low,high,1,2,0,hint:team | missing_game_context,http://www.chuapp.com/article/291245.html,“除了抚摸，还有没有其他和奇波互动的方式？”我操作着主角，一边抚摸这些可爱的小东西，一边向身边的人发问。 “有。你刚刚在拍照模式里看到它们有很多动作吧？这些以后可能都会加到互动系统里。”回答我的是《蓝色星原：旅谣》（下文称《蓝色星原》）项目组的工作人员。那天是3月10日，触乐受邀去了蛮啾，在一间不大的办公室里提前体验了游戏二测即将开放的部分内容。 他的回答让我有些惊讶。作为一款以“捉宠”为核心卖点之一的游戏，就我所知，《蓝色星原》目前…
incoming_20260319_001.json,incoming_20260319_001,触乐怪话：夜抢鸡蛋，共计六枚,ChuApp,2026-03-19T00:00:00Z,capital,noise,noise_suppression_candidate,low,high,1,2,0,hint:capital | missing_game_context,http://www.chuapp.com/article/291250.html,触乐怪话，每天胡侃和游戏有关的屁事、鬼事、新鲜事。 小罗趁乱顺走一颗鸡蛋（图/小罗） 3月13日午间刚过，小王老师在触乐群内发了一条信息：“老师们有抢GSE的日乙鸡蛋吗？”忙到找不到北的我，将这句话中的词语自行组合，产生了奇妙的反应：GSE发鸡蛋了。 我的脑海中浮现了以下景象——楼下药店开张发福利，大爷大娘们蜂拥而至，排队领鸡蛋。我快速地将“GSE的日乙鸡蛋”粘贴至浏览器，似乎在没有得到任何有信息的结果后，关掉了窗口。 一些脑洞大开的…
incoming_20260319_002.json,incoming_20260319_002,《洛克王国：世界》前瞻发布会落地广州塔，玩法全面升级，海量福利首度曝光,ChuApp,2026-03-19T00:00:00Z,market,noise,noise_suppression_candidate,low,high,1,2,0,hint:market | missing_game_context,http://www.chuapp.com/article/291249.html,3月12日至14日，《洛克王国：世界》空降华南地标广州塔，以线下开放日+发布会的形式，与玩家见面。 活动外场面向广大玩家开放打卡与互动体验，广州塔被布置成为洛克王国魔法学院的“现实分部”，玩家可以到场参与集章任务和周边抽奖活动。 巨大的精灵气模 而在13日当晚，腾讯魔方工作室群在广州塔内千人庆典大厅举行上线前瞻发布会，正式宣布：游戏将于3月17日开启预注册、3月23日开启预下载活动，并将于3月26日全平台上线。 魔方工作室群总裁、洛克…
incoming_20260319_003.json,incoming_20260319_003,从大人世界来到小人国，我遇到了更多朋友,ChuApp,2026-03-19T00:00:00Z,market,noise,noise_suppression_candidate,low,high,1,2,0,hint:market | missing_game_context,http://www.chuapp.com/article/291253.html,最近两年，“生活模拟游戏”似乎变多了，玩家们关注它们是否足够可爱、生动、有趣，而开发者总会提到它们的治愈性与陪伴感——从最直观的感受来说，生活模拟游戏的目的是为大家提供一种“轻松惬意的生活”，但有时候，我也会有些疑惑：除此之外，生活模拟游戏还能做出什么不同？ 其中，腾讯出品的《粒粒的小人国》试图做出自己的独特回答。 2025年9月，《粒粒的小人国》首曝，凭借差异化的题材和视角，搭配类皮克斯绘本风的美术风格，很快吸引了大量的关注。玩家的…
incoming_20260319_004.json,incoming_20260319_004,国产FPS现象级样本：《三角洲行动》开年交出5000万日活答卷,ChuApp,2026-03-19T00:00:00Z,market,signal,main_baseline_candidate,low,high,3,2,0,signal_pattern:market:1 | hint:market | missing_game_context,http://www.chuapp.com/article/291252.html,"3月18日，腾讯公布最新财报，提及《三角洲行动》的强劲表现。同期，官方对外发布的数据显示，游戏日活已攀升至5000万 。凭借“高品质内容+长线服务+多端全球布局”模式，三角洲通过对撤离模式的易用性改良及PC移动双端互通 ，成功将大量泛射击用户转化为高粘性玩家 。《三角洲行动》已牢牢稳据双端射击品类头部地位 。 现象级增长：国产FPS的""四级跳"" 回顾《三角洲行动》的用户增长轨迹，堪称近年国内游戏市场的现象级。2024年9月上线首月注册…"
incoming_20260319_005.json,incoming_20260319_005,'Text is evil:' How making Peak changed indie studio Aggro Crab,Game Developer,2026-03-19T00:00:00Z,team,boundary,boundary_observation_candidate,low,high,2,0,1,hint:team | game_context | short_excerpt | promoted_to_boundary_due_to_close_scores,https://www.gamedeveloper.com/production/-text-is-evil-how-making-peak-changed-indie-studio-aggro-crab,"What can you learn from shipping a multi-million seller after just a few months of production? Quite a lot, it turns out."
incoming_20260319_006.json,incoming_20260319_006,Ubisoft ends game development at Red Storm and lays off 105 workers,Game Developer,2026-03-19T00:00:00Z,team,signal,main_baseline_candidate,medium,medium,5,2,0,signal_pattern:technical:1 | hint:team | high_value_entities:ubisoft | game_context | very_short_excerpt,https://www.gamedeveloper.com/business/ubisoft-lays-off-105-staff-at-red-storm-ends-game-development,The studio will continue operating in the form of global IT and Snowdrop engine support.
incoming_20260319_007.json,incoming_20260319_007,独家｜网易清退外包传闻背后,ChuApp,2026-03-19T00:00:00Z,team,noise,noise_suppression_candidate,low,high,1,2,0,hint:team | missing_game_context,http://www.chuapp.com/article/291251.html,■ 1 林淼是17号晚上从同事转发的聊天记录得到“网易要大规模清退外包员工”的消息的。消息的细节很丰富，“4月清退30%外编，5月（外编）全裁”。网络上广泛流传的另一份无法确认真实性的截图显示，此次裁员的导火索是公司内部的一个小项目跑通了“策划提需求，AI写代码，AI做美术，AI做测试”的完整流程。但关于这个说法，并没有进一步的信息证实。 林淼在网易某款游戏内工作。他觉得公司计划用AI替换人力的部分“一眼真”。但对于传闻的细节，他并不…
